Timestamp,acc.z,pwm.m1_pwm,pwm.m2_pwm,pwm.m3_pwm,pwm.m4_pwm
345552,0.9989643692970276,0,0,0,0
345562,0.9978281855583191,0,0,0,0
345572,0.9988012313842773,0,0,0,0
345582,1.0016310214996338,0,0,0,0
345592,1.000630259513855,0,0,0,0
345602,1.0003747940063477,0,0,0,0
345612,1.0022121667861938,0,0,0,0
345622,1.0014252662658691,0,0,0,0
345632,1.0024948120117188,0,0,0,0
345642,0.9997133612632751,0,0,0,0
345652,1.0000758171081543,0,0,0,0
345662,1.0009645223617554,0,0,0,0
345672,1.0024124383926392,0,0,0,0
345682,0.9996790885925293,0,0,0,0
345692,0.9979802966117859,0,0,0,0
345702,0.997074544429779,0,0,0,0
345712,0.9990432858467102,0,0,0,0
345722,0.9987090826034546,0,0,0,0
345732,0.999807596206665,0,0,0,0
345742,0.9983665943145752,0,0,0,0
345752,0.9974313974380493,0,0,0,0
345762,0.999916136264801,0,0,0,0
345772,1.0000462532043457,0,0,0,0
345782,1.0008271932601929,0,0,0,0
345792,0.9985979795455933,0,0,0,0
345802,0.9991663098335266,0,0,0,0
345812,0.9991390705108643,0,0,0,0
345822,1.0020904541015625,0,0,0,0
345832,1.0004186630249023,0,0,0,0
345842,1.0004570484161377,0,0,0,0
345852,1.0010273456573486,0,0,0,0
345862,1.0012907981872559,0,0,0,0
345872,1.0029724836349487,0,0,0,0
345882,1.0016435384750366,0,0,0,0
345892,1.001583218574524,0,0,0,0
345902,0.9990554451942444,0,0,0,0
345912,1.0007725954055786,0,0,0,0
345922,1.001193642616272,0,0,0,0
345932,0.9975371956825256,0,0,0,0
345942,0.9995078444480896,0,0,0,0
345952,1.0007797479629517,0,0,0,0
345962,1.0008201599121094,0,0,0,0
345972,1.0008749961853027,0,0,0,0
345982,0.999555230140686,0,0,0,0
345992,0.9985376000404358,0,0,0,0
346002,1.0005937814712524,0,0,0,0
346012,1.0011820793151855,0,0,0,0
346022,0.9994686245918274,0,0,0,0
346032,0.9981710314750671,0,0,0,0
346042,0.9986688494682312,0,0,0,0
346052,0.9993981719017029,0,0,0,0
346062,0.9972653388977051,0,0,0,0
346072,0.9973682761192322,0,0,0,0
346082,0.9982759356498718,0,0,0,0
346092,1.001230001449585,0,0,0,0
346102,0.9999797344207764,0,0,0,0
346112,0.9998570680618286,0,0,0,0
346122,0.9986956715583801,0,0,0,0
346132,1.0007116794586182,0,0,0,0
346142,0.9991592168807983,0,0,0,0
346152,0.9982874989509583,0,0,0,0
346162,1.0002341270446777,0,0,0,0
346172,1.0004793405532837,0,0,0,0
346182,0.9988722205162048,0,0,0,0
346192,0.9991620182991028,0,0,0,0
346202,0.9987356066703796,0,0,0,0
346212,0.9991660118103027,0,0,0,0
346222,0.9995746612548828,0,0,0,0
346232,1.0004901885986328,0,0,0,0
346242,1.0004531145095825,0,0,0,0
346252,0.9974370002746582,0,0,0,0
346262,0.9995429515838623,0,0,0,0
346272,1.000432014465332,0,0,0,0
346282,1.0003937482833862,0,0,0,0
346292,1.0001604557037354,0,0,0,0
346302,0.9988289475440979,0,0,0,0
346312,0.9990561604499817,0,0,0,0
346322,0.9998438358306885,0,0,0,0
346332,0.9998220205307007,0,0,0,0
346342,0.9982507824897766,0,0,0,0
346352,0.9987314343452454,0,0,0,0
346362,0.9979604482650757,0,0,0,0
346372,1.0005296468734741,0,0,0,0
346382,0.9973387718200684,0,0,0,0
346392,0.9998341202735901,0,0,0,0
346402,1.00003981590271,0,0,0,0
346412,1.0007860660552979,0,0,0,0
346422,0.99953693151474,0,0,0,0
346432,0.9996347427368164,0,0,0,0
346442,0.9995256662368774,0,0,0,0
346452,0.9994149804115295,0,0,0,0
346462,0.9956128001213074,0,0,0,0
346472,0.9978397488594055,0,0,0,0
346482,0.9993410110473633,0,0,0,0
346492,0.9983186721801758,0,0,0,0
346502,0.9986344575881958,0,0,0,0
346512,0.9989094734191895,0,0,0,0
346522,0.997322678565979,0,0,0,0
346532,1.0009121894836426,0,0,0,0
346542,1.0016998052597046,0,0,0,0
346552,1.001503825187683,0,0,0,0
346562,1.0001192092895508,0,0,0,0
346572,1.0018739700317383,0,0,0,0
346582,0.9998916387557983,0,0,0,0
346592,1.0001351833343506,0,0,0,0
346602,1.0014816522598267,0,0,0,0
346612,1.0008522272109985,0,0,0,0
346622,1.0007386207580566,0,0,0,0
346632,0.9993569850921631,0,0,0,0
346642,1.001111626625061,0,0,0,0
346652,0.999961256980896,0,0,0,0
346662,0.9996236562728882,0,0,0,0
346672,1.0005933046340942,0,0,0,0
346682,0.9993823766708374,0,0,0,0
346692,1.0002604722976685,0,0,0,0
346702,0.9986832141876221,0,0,0,0
346712,0.9983927607536316,0,0,0,0
346722,1.0008474588394165,0,0,0,0
346732,1.000908374786377,0,0,0,0
346742,0.9996542930603027,0,0,0,0
346752,0.9986348748207092,0,0,0,0
346762,0.9995346069335938,0,0,0,0
346772,1.0015869140625,0,0,0,0
346782,1.000814437866211,0,0,0,0
346792,0.9987211227416992,0,0,0,0
346802,0.9989298582077026,0,0,0,0
346812,1.0018349885940552,0,0,0,0
346822,0.99909508228302,0,0,0,0
346832,0.9989611506462097,0,0,0,0
346842,0.9992713332176208,0,0,0,0
346852,0.9998874068260193,0,0,0,0
346862,1.0000007152557373,0,0,0,0
346872,1.0012445449829102,0,0,0,0
346882,1.0003783702850342,0,0,0,0
346892,0.9990493655204773,0,0,0,0
346902,0.9991781711578369,0,0,0,0
346912,0.9993669390678406,0,0,0,0
346922,0.9965707063674927,0,0,0,0
346932,0.9973887205123901,0,0,0,0
346942,1.0007694959640503,0,0,0,0
346952,0.9998928904533386,0,0,0,0
346962,1.0004310607910156,0,0,0,0
346972,1.0026419162750244,0,0,0,0
346982,0.9997761845588684,0,0,0,0
346992,0.9995890855789185,0,0,0,0
347002,0.9984663724899292,0,0,0,0
347012,0.9995771050453186,0,0,0,0
347022,1.0005698204040527,0,0,0,0
347032,1.0007493495941162,0,0,0,0
347042,1.0000826120376587,0,0,0,0
347052,0.9994306564331055,0,0,0,0
347062,1.0008602142333984,0,0,0,0
347072,1.0012556314468384,0,0,0,0
347082,0.9998167753219604,0,0,0,0
347092,1.0004222393035889,0,0,0,0
347102,0.9994931817054749,0,0,0,0
347112,0.9996342062950134,0,0,0,0
347122,1.000871181488037,0,0,0,0
347132,0.9996119737625122,0,0,0,0
347142,0.9975696802139282,0,0,0,0
347152,0.9974153637886047,0,0,0,0
347162,0.9998204708099365,0,0,0,0
347172,0.9994856119155884,0,0,0,0
347182,1.000421166419983,0,0,0,0
347192,0.9994092583656311,0,0,0,0
347202,0.9981915950775146,0,0,0,0
347212,0.9982128739356995,0,0,0,0
347222,0.9973825216293335,0,0,0,0
347232,1.0004289150238037,0,0,0,0
347242,1.0005767345428467,0,0,0,0
347252,0.9993434548377991,0,0,0,0
347262,1.0010781288146973,0,0,0,0
347272,1.0012307167053223,0,0,0,0
347282,0.9994350671768188,0,0,0,0
347292,0.9984685182571411,0,0,0,0
347302,1.0005241632461548,0,0,0,0
347312,0.9997542500495911,0,0,0,0
347322,1.0006548166275024,0,0,0,0
347332,0.9995247721672058,0,0,0,0
347342,1.000381350517273,0,0,0,0
347352,1.0000967979431152,0,0,0,0
347362,0.9994927048683167,0,0,0,0
347372,1.0006812810897827,0,0,0,0
347382,1.0010337829589844,0,0,0,0
347392,1.0003868341445923,0,0,0,0
347402,1.0014668703079224,0,0,0,0
347412,0.9989612102508545,0,0,0,0
347422,0.9994546175003052,0,0,0,0
347432,1.0012900829315186,0,0,0,0
347442,0.9999963641166687,0,0,0,0
347452,0.9985743761062622,0,0,0,0
347462,0.9973015785217285,0,0,0,0
347472,0.9987719058990479,0,0,0,0
347482,0.9991917014122009,0,0,0,0
347492,1.000806212425232,0,0,0,0
347502,0.998886227607727,0,0,0,0
347512,1.0000956058502197,0,0,0,0
347522,0.9997340440750122,0,0,0,0
347532,1.0008480548858643,0,0,0,0
347542,1.002475619316101,0,0,0,0
347552,1.0015690326690674,0,0,0,0
347562,1.0003209114074707,0,0,0,0
347572,1.0024263858795166,0,0,0,0
347582,1.001416563987732,0,0,0,0
347592,0.9988918304443359,0,0,0,0
347602,1.0005033016204834,0,0,0,0
347612,0.9986827969551086,0,0,0,0
347622,1.0001024007797241,0,0,0,0
347632,1.0021179914474487,0,0,0,0
347642,1.0002514123916626,0,0,0,0
347652,0.9989919662475586,0,0,0,0
347662,1.0000187158584595,0,0,0,0
347672,1.0007991790771484,0,0,0,0
347682,1.0006766319274902,0,0,0,0
347692,0.9984957575798035,0,0,0,0
347702,0.9990484118461609,0,0,0,0
347712,0.9999311566352844,0,0,0,0
347722,0.9976534843444824,0,0,0,0
347732,0.9993841052055359,0,0,0,0
347742,0.9979217052459717,0,0,0,0
347752,1.0009938478469849,0,0,0,0
347762,1.000573992729187,0,0,0,0
347772,1.0001963376998901,0,0,0,0
347782,0.9992667436599731,0,0,0,0
347792,1.0019209384918213,0,0,0,0
347802,0.9977729320526123,0,0,0,0
347812,0.997953474521637,0,0,0,0
347822,0.9992188811302185,0,0,0,0
347832,0.9980999231338501,0,0,0,0
347842,1.000550627708435,0,0,0,0
347852,1.0028676986694336,0,0,0,0
347862,0.9982707500457764,0,0,0,0
347872,0.9990447163581848,22824,21777,20242,21316
